idSucursal;idTipoPaquete;idServicioCable;fibraOptica;velocidadInternet;telefonia;precioPromoPaquete;precioNormalPaquete;tarifaPromocional;simetria;velocidadPromo;tiempoVelocidadPromo
39;1;1;;1000;1;$1.000;$1.100;;0;;
40;3;0;;60;1;$450;$500;300;0;120;6
40;2;2;;60;1;$550;$600;400;0;120;6
41;2;2;;60;1;$600;$650;450;0;120;6
41;2;2;;100;1;$700;$750;550;0;200;6
41;2;2;;250;1;$800;$850;650;0;500;6
41;2;2;;500;1;$900;$950;750;0;1000;6
41;3;0;;60;1;$450;$500;300;0;120;6
41;3;0;;100;1;$550;$600;400;0;200;6
41;3;0;;250;1;$650;$700;500;0;500;6
41;3;0;;500;1;$750;$800;600;0;1000;6
41;3;0;;60;1;$500;$600;0;1;;
41;3;0;;100;1;$600;$700;0;1;;
41;3;0;;250;1;$700;$800;0;1;;
41;3;0;;500;1;$800;$900;0;1;;
41;2;2;;60;1;$650;$750;;1;;
41;2;2;;100;1;$750;$850;;1;;
41;2;2;;250;1;$850;$950;;1;;
41;2;2;;500;1;$950;$1.050;;1;;
41;1;1;;1000;1;$1.000;$1.100;;0;;
42;2;2;;60;1;$600;$650;450;0;120;6
42;2;2;;100;1;$700;$750;550;0;200;6
42;2;2;;250;1;$800;$850;650;0;500;6
42;2;2;;500;1;$900;$950;750;0;1000;6
42;3;0;;60;1;$450;$500;300;0;120;6
42;3;0;;100;1;$550;$600;400;0;200;6
42;3;0;;250;1;$650;$700;500;0;500;6
42;3;0;;500;1;$750;$800;600;0;1000;6
42;3;0;;60;1;$500;$600;0;1;;
42;3;0;;100;1;$600;$700;0;1;;
42;3;0;;250;1;$700;$800;0;1;;
42;3;0;;500;1;$800;$900;0;1;;
42;2;2;;60;1;$650;$750;;1;;
42;2;2;;100;1;$750;$850;;1;;
42;2;2;;250;1;$850;$950;;1;;
42;2;2;;500;1;$950;$1.050;;1;;
42;1;1;;1000;1;$1.000;$1.100;;0;;
43;2;2;;60;1;$600;$650;450;0;120;6
43;2;2;;100;1;$700;$750;550;0;200;6
43;2;2;;250;1;$800;$850;650;0;500;6
43;2;2;;500;1;$900;$950;750;0;1000;6
43;3;0;;60;1;$450;$500;300;0;120;6
43;3;0;;100;1;$550;$600;400;0;200;6
43;3;0;;250;1;$650;$700;500;0;500;6
43;3;0;;500;1;$750;$800;600;0;1000;6
43;3;0;;60;1;$500;$600;0;1;;
43;3;0;;100;1;$600;$700;0;1;;
43;3;0;;250;1;$700;$800;0;1;;
43;3;0;;500;1;$800;$900;0;1;;
43;2;2;;60;1;$650;$750;;1;;
43;2;2;;100;1;$750;$850;;1;;
43;2;2;;250;1;$850;$950;;1;;
43;2;2;;500;1;$950;$1.050;;1;;
43;1;1;;1000;1;$1.000;$1.100;;0;;
